Issue Number,Title,Description,Labels,Milestone,Epic,Effort Hours,Priority,Dependencies
45,Write Forgiveness Scenes (Evil Path Redemption),Forgiveness scenes each character if requirements met (4000+ words). Based on template. Each: acknowledge harm explain forgiveness for their healing boundaries can you forgive who hurt you redemption offer. Player accept or reject. Accepting begins redemption arc reality stabilizes. Dr Chen final teaching. Powerful not preachy.,"content,writing",Milestone 5: Full Story Playable,Epic 5,12,High,"10,44"
46,Write Chapter 11 - Good Path Epilogues,Multiple ending variations (1500-2000 words each). Endings for Becky Maria Jasmine Jill Dr Chen Nurse Reyes Polyamory Solo. Each: time jump months/year montage thriving player new purpose Watcher fully formed smiling final message breaking cycles. Satisfying and earned. Credits integration.,"content,writing",Milestone 5: Full Story Playable,Epic 5,12,High,43
47,Write Chapter 11 - Evil Path Ending,Evil path ending (2000+ words). Player psych ward or prison. Alone reality unstable. Montage destroyed lives. Watcher fades crying. Dr Chen final visit: second chance same pattern but even now could heal do you want to. Choice: try again (NG+) or give up (game over). Final message about choice. Credits somber. Impactful offers hope.,"content,writing",Milestone 5: Full Story Playable,Epic 5,8,High,"44,45"
48,Implement The Watcher System,Watcher sprite: young boy 8-12 light/shadow ethereal. Multiple states bright dim fading crying smiling. Appears only: major moral choices introspection severe shifts revelation epilogue. Never NSFW. Brightness based on alignment. No dialogue until final. Good: fully formed speaks smiles. Evil: fades tear.,"feature,content",Milestone 5: Full Story Playable,Epic 5,10,Medium,11
49,Implement Male Support Characters,Character definitions sprites for Marcus Daniel Carlos. Marcus dialogue: good grateful loving / evil forgiving fury. Daniel: good thanks / evil grace anger. Carlos: good recovery gratitude / evil dying forgiving devastating. Models healthy masculinity.,"feature,content",Milestone 5: Full Story Playable,Epic 5,8,Medium,"11,Character arcs"
50,Create Ending Cinematics & Credits,Good path montages (characters thriving time passage happiness). Evil path montages (consequences somber emptiness). Credits: contributors mental health resources disclaimer crisis hotlines. Music for each ending. The End or Try Again screens.,"feature,art",Milestone 5: Full Story Playable,Epic 5,12,Medium,All endings written
51,Create All Character Portraits (Final Art Pass),All 13 characters full expression sets. Best ComfyUI consistency. Reality shift variants. NSFW variants for romance. Estimated 150+ images. Consistent style. 1080p minimum. Compressed. Organized folders.,"art",Milestone 6: Art & Audio Complete,Epic 6,60,High,"All chapters complete,ComfyUI refined"
52,Create All Background Art (Final Art Pass),Hospital therapy group assisted living patient bedrooms player outdoor introspection detective ending backgrounds. Reality shift variants. Day/evening/night as needed. Estimated 50+ backgrounds.,"art",Milestone 6: Art & Audio Complete,Epic 6,40,High,All chapters complete
53,Create Visual Effects for Reality Shifts,Catastrophic: screen break impossible geometry void particles. Severe: distortion waves color inversion transformations. Moderate: flicker shimmer color shift. Minor: brief glitch subtle changes. Harmony: clarity glow vibrant saturation. Image overlays or RenPy transforms.,"art,vfx",Milestone 6: Art & Audio Complete,Epic 6,16,Medium,4
54,Compose Main Theme & Chapter Themes,Main menu mysterious melancholic. Chapter 1 unsettling medical. Therapy calm introspective. Good path hopeful warm. Evil path dark tense. Romance intimate emotional. Revelation dramatic intense. Good ending uplifting. Evil ending somber heavy. All loopable 3-5min OGG balanced.,"audio,music",Milestone 6: Art & Audio Complete,Epic 6,40,High,Tone established
55,Create Sound Effects Library,Reality shift sounds all severities. Heartbeat monitor. Hospital ambience. Door footsteps. UI sounds. Phone notification. Harmony chime. Brain zap. Ambient rain birds. OGG normalized.,"audio,sfx",Milestone 6: Art & Audio Complete,Epic 6,12,Medium,None
56,Create UI Graphics & Custom Screens,Custom dialogue box choice menu. Introspection screen UI. Group therapy seating chart visual. Belief system display. Drug effects status. Reality stability indicator. Optional relationship meters. Save/load settings main menu graphics. Match aesthetic.,"art,ui",Milestone 6: Art & Audio Complete,Epic 6,20,Medium,RenPy screens designed
57,Implement Comprehensive Save/Load Testing,Test save/load every chapter. Test during dialogue choices shifts introspection drug effects NSFW. Verify all state saves/loads. Multiple slots. Corruption handling. Auto-save. Document save-breaking changes. Fix critical bugs.,"testing",Milestone 7: Launch Ready,Epic 7,8,Critical,All content complete
58,Full QA Pass - Good Path,Full good path playthrough start to credits (4000+ words). Test all choice variations. Document bugs typos pacing unclear moments. Verify outcomes male characters romance endings. Minimum 3 playthroughs. Fix all critical bugs.,"testing",Milestone 7: Launch Ready,Epic 7,20,Critical,All content complete
59,Full QA Pass - Evil Path,Full evil path playthrough. Test evil variations. Document bugs. Verify consequences reality degradation evil ending forgiveness redemption. Minimum 3 playthroughs. Fix critical bugs.,"testing",Milestone 7: Launch Ready,Epic 7,20,Critical,All content complete
60,Writing Polish Pass,Proofread entire script. Fix typos grammar. Verify character voice. Improve unclear tighten wordy enhance emotional. Verify Critical Question consistency foreshadowing. Check plot holes character arc consistency. Professional editor if budget. Second proofread.,"content,polish",Milestone 7: Launch Ready,Epic 7,30,High,All writing complete
61,Sensitivity Reader Review,Mental health professional reviews therapy introspection drugs suicide trauma. CSA survivor reviews Jill. Addiction specialist reviews Maria Jasmine. Self-harm expertise reviews Becky. Document feedback address critical update warnings update resources.,"testing",Milestone 7: Launch Ready,Epic 7,16,Critical,All writing complete
62,Performance Optimization,Image loading optimization preload lazy NSFW compression. Audio optimization looping normalization format. Script optimization remove redundant optimize checks clean unused. Test minimum spec. 60fps dialogue. Load under 5sec save under 2sec.,"technical,optimization",Milestone 7: Launch Ready,Epic 7,12,Medium,All content implemented
63,Accessibility Features,Text size options. Font options. High contrast. Basic screen reader. Colorblind mode. Skip options NSFW triggers shifts. Content warning customization. Auto-advance. Test accessibility tools.,"feature,accessibility",Milestone 7: Launch Ready,Epic 7,10,Medium,All content complete
64,Create Marketing Materials,Trailer 2-3min (concept gameplay uniqueness warnings music VO). 20+ screenshots variety. Marketing copy: short 100w long 500w features taglines. Key art cover logo. Test with target audience.,"marketing",Milestone 7: Launch Ready,Epic 7,20,High,Game near complete
65,Steam Page Setup,Steam Partner account. App registered. Store page: title subtitle descriptions features requirements age rating warnings screenshots trailer key art. Tags price release date. Review build. Test page visible looks good.,"distribution",Milestone 7: Launch Ready,Epic 7,8,Critical,64
66,Itch.io Page Setup,Account created. Game page description screenshots trailer. Pricing or free demo. Tags warnings. Download builds. Test page downloads.,"distribution",Milestone 7: Launch Ready,Epic 7,4,High,64
67,Patreon Setup & Community Building,Account created. Tiers: 5 updates 10 early access 25 input credits. Description rewards fulfillment schedule. Optional Discord. First post. Link from game.,"marketing,community",Milestone 7: Launch Ready,Epic 7,8,Medium,None
68,Beta Testing Program,Recruit 10-20 diverse testers. Distribute builds. Feedback survey: technical pacing story clarity emotional impact therapeutic value recommend improvements. Compile prioritize fix re-test thank testers credit.,"testing",Milestone 7: Launch Ready,Epic 7,40,High,Game feature-complete
69,Launch Day Preparation,Final builds all platforms. Test final. Upload Steam Itch. Review approve pages. Press kit. Launch announcement. Schedule social. Support email. FAQ. Backup plan. Team ready.,"release",Milestone 7: Launch Ready,Epic 7,8,Critical,All other complete
70,Post-Launch Support & Monitoring,Monitor Steam Itch forums reviews comments. Support email 24hr. Track bugs prioritize critical. Patches. Engage community. Thank reviewers. Collect suggestions. Plan DLC roadmap. Celebrate!,"support",Milestone 7: Launch Ready,Epic 7,Ongoing,Critical,69
71,Character Belief System - Becky,Populate Becky belief system JSON. 5-7 core beliefs 2-3 trauma beliefs 3-5 surface beliefs. Hierarchy healing progression. All fields: statement strength origin triggers emotional signature behavior pattern.,"content,data",Optional,Optional,4,High,Belief schema finalized
72,Character Belief System - Maria,Same as 71 for Maria.,"content,data",Optional,Optional,4,High,Belief schema finalized
73,Character Belief System - Jasmine,Same as 71 for Jasmine.,"content,data",Optional,Optional,4,High,Belief schema finalized
74,Character Belief System - Jill,Same as 71 for Jill.,"content,data",Optional,Optional,4,High,Belief schema finalized
75,Character Belief System - Dr Chen,Same as 71 for Dr Chen.,"content,data",Optional,Optional,4,High,Belief schema finalized
76,Character Belief System - Nurse Reyes,Same as 71 for Nurse Reyes.,"content,data",Optional,Optional,4,High,Belief schema finalized
77,Character Belief System - Detective Rivera,Same as 71 for Detective Rivera.,"content,data",Optional,Optional,4,High,Belief schema finalized
78,Character Belief System - Marcus,Same as 71 for Marcus.,"content,data",Optional,Optional,4,High,Belief schema finalized
79,Character Belief System - Daniel,Same as 71 for Daniel.,"content,data",Optional,Optional,4,High,Belief schema finalized
80,Character Belief System - Carlos,Same as 71 for Carlos.,"content,data",Optional,Optional,4,High,Belief schema finalized
81,New Game+ Implementation,Option after evil path. Player starts over retaining awareness knowledge belief mechanics memory of previous life. Special dialogue acknowledging second chance. Achievement for NG+ good path.,"feature",Optional,Optional,8,Low,Game complete
82,Achievement System,Define 20-30 achievements: complete paths help/destroy all perfect introspection max stability find all secrets ethical polyamory NG+ etc. Steam achievements. In-game pop-ups.,"feature",Optional,Optional,12,Low,Steam integration
83,Analytics & Metrics (Optional),Opt-in only ask permission. Track anonymized: paths chosen quit points playtime choice distribution. No PII. Privacy policy. Can disable. Data improves game.,"feature,analytics",Optional,Optional,6,Low,Privacy policy
84,Write Dr Chen Progressive Group Therapy Shares,Write Dr Chen's 6-week progression sharing her trauma in group therapy. Week 1-2 professional no sharing. Week 3 mentions working through something difficult. Week 4 reveals she was sexually assaulted several months ago. Week 5 discusses learning to forgive her attacker. Week 6+ models forgiveness work. Never reveals player is attacker. Extremely sensitive writing required.,"content,writing,sensitive-content",Milestone 3: Chapters 2-3 Complete,Epic 3,8,Critical,"23,Character arcs"
85,Write Player Rape Memory Dream Sequence (Good Path),Write dream sequence where player remembers the rape without seeing victim's face. Drunk/high. Woman saying no/stop. Not stopping. Horror of realization. Running home. The gun. Wakes in cold sweat. Doesn't remember WHO but remembers WHAT. Introspection: what did I do did someone shoot me did I deserve it. NOT GRAPHIC. Focus on horror and realization not assault details. REQUIRES multiple sensitivity readers.,"content,writing,sensitive-content",Milestone 5: Full Story Playable,Epic 5,12,Critical,Good path progress with character
86,Implement Player Confession System (Good Path),After dream player can choose: confess in group therapy without knowing victim / tell Dr Chen privately in session / keep secret (damages good path). If confesses publicly group reacts. Each female patient decides forgive or reject based on: trauma history how player treated them redemption beliefs healing progress. Dr Chen maintains composure. Track all reactions.,"feature,content,sensitive-content",Milestone 5: Full Story Playable,Epic 5,10,Critical,"84,85"
87,Write Dr Chen Private Revelation Scene (Good Path),"After player confesses (not knowing) Dr Chen requests private session. Reveals she is the woman he raped. Explains why she offered to treat him: testing if people can truly change believing in redemption her own forgiveness work. THE MOMENT - Player broken: How can I ever forgive myself for what I did? Dr Chen: Because I forgive you. Her choice offers grace doesn't erase what happened but offers path forward. Player can accept or reject. Offers choice: continue treatment with her or transfer. Requires extraordinary sensitivity. Her agency and strength paramount.","content,writing,sensitive-content",Milestone 5: Full Story Playable,Epic 5,10,Critical,86
88,Write Dr Chen Public Revelation Scene (Evil Path),Player has been exploiting patients repeating pattern. Dr Chen realizes and reveals in group: I need to tell you something about why player is really here. Reveals the rape. Reveals she offered to treat him. Reveals he's exploiting second chance. Female patients react horror/betrayal. Some realize re-traumatized by rapist. Dr Chen's trauma triggered but maintains strength. Leads to Chapter 10 evil consequences. NOT victim-blaming. Her strength clear.,"content,writing,sensitive-content,dark-content",Milestone 5: Full Story Playable,Epic 5,10,Critical,Evil path pattern established
89,Implement Female Patient Forgiveness Calculations (Post-Rape Reveal),After rape revelation each female patient calculates forgiveness based on belief systems. Factors: their own sexual trauma history how player treated them current healing state beliefs about redemption male violence beliefs about change possibility. Some forgive conditionally some reject some need time. Each reaction authentic to character. Store decisions affect endings.,"feature,core-mechanic",Milestone 5: Full Story Playable,Epic 5,8,Critical,"86,87,88"
90,Update Chapter 9 Revelation with Rape Memory,Revise Chapter 9 revelation sequence. Memory returns in 3 stages: 1-The rape (drunk/high woman saying no not stopping horror). 2-Running home self-hatred gun decision. 3-Good path player confesses Dr Chen reveals / Evil path Dr Chen reveals to group. Reframes entire game: every session was her testing will he repeat or break pattern. Every interaction was rape victim treating rapist. Extremely heavy emotionally devastating.,"content,writing,sensitive-content",Milestone 5: Full Story Playable,Epic 5,16,Critical,"42,85,86,87,88"
91,Update Good Path Endings with Rape Reconciliation,Revise good path endings. If player confessed and female patients forgave: they acknowledge what he did recognize genuine change still set boundaries. Dr Chen can offer final session: I forgive you AND I will never forget what you did AND I believe you can be different. Player can pursue romance with patients who forgave (not Dr Chen - inappropriate). Ending acknowledges: you can't undo rape but you can choose differently going forward.,"content,writing",Milestone 5: Full Story Playable,Epic 5,10,High,"46,87,89"
92,Update Evil Path Ending with Rape Revelation Consequences,Revise evil path ending. After public rape revelation: patients feel betrayed re-traumatized unsafe. Some patients breakdown worsen regress. Dr Chen despite everything still offers: you had a second chance extraordinary grace you chose to repeat I still believe change is possible but not with me not anymore. Detective arrests on original rape charge plus new exploitation. Player alone seeing gave up greatest gift possible. Devastating.,"content,writing,dark-content",Milestone 5: Full Story Playable,Epic 5,10,High,"47,88,89"
93,Create Rape Survivor Sensitivity Reader Team,Recruit 3-5 rape survivor sensitivity readers specifically for Dr Chen arc and revelation content. Provide content warnings for reviewers. Get feedback on: is this exploitative or therapeutic does it blame victim does it center Dr Chen's agency is player accountability clear is forgiveness portrayed correctly are triggers handled appropriately. Implement all critical feedback. Compensate readers appropriately.,"testing,sensitive-content",Milestone 7: Launch Ready,Epic 7,20,Critical,"84,85,86,87,88,90"
94,Update Content Warnings for Rape Plot,Add prominent content warning: This game deals with protagonist who committed rape while intoxicated and is attempting to change. Narrative does not excuse behavior but examines if genuine transformation possible. May be extremely triggering for survivors. Add skip option for rape memory sequence and revelation scenes. Add resources for RAINN and sexual assault hotlines. Make warnings impossible to miss.,"content,documentation",Milestone 7: Launch Ready,Epic 7,4,Critical,All rape content complete
95,Write Dr Chen Belief System (Rape Survivor),Populate Dr Chen belief system with focus on her trauma and forgiveness journey. Core beliefs about: redemption possibility human capacity for change her own strength/agency forgiveness as active choice not weakness boundaries with grace trauma doesn't define her. Trauma beliefs: trust is difficult men are capable of harm she deserves safety healing is ongoing choice to treat him was reclaiming power. Surface beliefs about therapy professional boundaries.,"content,data",Optional,Optional,6,Critical,Belief schema finalized